model_name,overall_mae,overall_mase,overall_mape,overall_fast_mae,overall_fast_mase,overall_fast_mape,overall_medium_mae,overall_medium_mase,overall_medium_mape,overall_long_mae,overall_long_mase,overall_long_mape,cold_start_mae,cold_start_mase,cold_start_mape,cold_start_fast_mae,cold_start_fast_mase,cold_start_fast_mape,cold_start_medium_mae,cold_start_medium_mase,cold_start_medium_mape,cold_start_long_mae,cold_start_long_mase,cold_start_long_mape,warm_state_mae,warm_state_mase,warm_state_mape,warm_state_fast_mae,warm_state_fast_mase,warm_state_fast_mape,warm_state_medium_mae,warm_state_medium_mase,warm_state_medium_mape,warm_state_long_mae,warm_state_long_mase,warm_state_long_mape
Quantity Baseline,11.71563639222922,0.8996327286995045,1.100133487350345,7.580066666809306,0.9712064086329755,2.337149810944305,8.826862136404154,0.8880672150068766,0.6952015798100115,19.439665294001106,0.882481663417461,0.46161179633765365,14.89504081815927,0.9452773220837472,1.2630111996451792,10.102932473582326,0.9964112549648627,3.1700829453485,11.214019681506407,0.9480954046642898,0.8733131829154511,21.587071974924367,0.9302048905602297,0.5017790174981624,10.708248593943233,0.8808860641742674,1.0485260168944426,6.982119833576483,0.9628535670534072,2.13973553362738,8.105199520725431,0.8651559877946458,0.6413565851034322,18.527154991330384,0.8606205941095358,0.44454329996748365
Mean Interval Baseline,10.679494696455846,0.8200683798344092,1.061575601223223,7.501781493560183,0.961176013742993,2.3645625647471618,7.855139830168505,0.7903026063698261,0.6248737830108316,17.411141649001227,0.790394948268432,0.40240594782594613,14.115826212999696,0.8958263736582958,1.249124854250186,10.194178496753603,1.0054104801597636,3.237732016433733,10.710644065582338,0.9055372389188951,0.8391262945135769,19.99510986066452,0.8616059186389208,0.45907894510266845,9.590700074293489,0.7889538580472211,1.0021510034790255,6.863653909626467,0.9465167896608137,2.1576118394608845,6.99189112677296,0.746320489565749,0.5601030148711095,16.313120656581365,0.7577746069386914,0.37832355376540205
EMA Interval Baseline,11.102530558844485,0.8525529068781872,1.0704568350638224,7.4407360013540265,0.9533544765646492,2.3309854819603597,8.200591303067371,0.8250583465996487,0.6477153493473647,18.39502970897723,0.8350594606791544,0.4331218657313003,14.176171040585901,0.8996560104964003,1.2443257010290327,10.13209805216243,0.9992877376921073,3.2132623724630167,10.674015285126396,0.9024404387156633,0.8361443841086489,20.229426245980708,0.8717028066195,0.4643900262844958,10.128653850247277,0.8332072184590863,1.015366840017364,6.802853712473068,0.9381322749142781,2.1218761939061697,7.452849444036139,0.7955235779393577,0.5907512874761067,17.615528669854317,0.8182738664677714,0.41983490015378516
CatBoost Regressor,13.28598718840157,1.0202184932690688,0.6520071972618714,2.159770284253133,0.2767235214996659,0.8746470218031891,6.005184513208815,0.6041793112699859,0.40038367683129006,33.419527176801715,1.5171104794026473,0.7725709551098745,16.48730946469228,1.0463267559595948,0.6913065818042556,2.4105943316155516,0.2377471421745085,1.0144897011628573,6.245018713049799,0.5279885101012811,0.4084280847706699,35.55981345257833,1.5323019453227031,0.7846762164154261,12.27165476399696,1.0094955838134874,0.6395552675402961,2.10032223734697,0.2896402248019323,0.8415027748720129,5.93268013395594,0.6332593945945129,0.3979517684358721,32.51004259027188,1.5101515684225955,0.7674269943706409
